market_id,outcome,price,timestamp
1395238,No,0.965,2026-04-17T17:41:37.270621+00:00
1395238,Yes,0.035,2026-04-17T17:41:37.270621+00:00
1823894,No,0.9955,2026-04-17T17:41:37.270621+00:00
1823894,Yes,0.0045,2026-04-17T17:41:37.270621+00:00
678784,No,0.985,2026-04-17T17:41:37.270621+00:00
678784,Yes,0.015,2026-04-17T17:41:37.270621+00:00
1229045,No,0.991,2026-04-17T17:41:37.270621+00:00
1229045,Yes,0.009,2026-04-17T17:41:37.270621+00:00
1343459,No,0.9955,2026-04-17T17:41:37.270621+00:00
1343459,Yes,0.0045,2026-04-17T17:41:37.270621+00:00
1360605,No,0.175,2026-04-17T17:41:37.270621+00:00
1360605,Yes,0.825,2026-04-17T17:41:37.270621+00:00
1693055,No,0.995,2026-04-17T17:41:37.270621+00:00
1693055,Yes,0.005,2026-04-17T17:41:37.270621+00:00
1567769,No,0.385,2026-04-17T17:41:37.270621+00:00
1567769,Yes,0.615,2026-04-17T17:41:37.270621+00:00
676791,No,0.79,2026-04-17T17:41:37.270621+00:00
676791,Yes,0.21,2026-04-17T17:41:37.270621+00:00
1965054,No,0.9385,2026-04-17T17:41:37.270621+00:00
1965054,Yes,0.0615,2026-04-17T17:41:37.270621+00:00
1943741,No,0.9235,2026-04-17T17:41:37.270621+00:00
1943741,Yes,0.0765,2026-04-17T17:41:37.270621+00:00
577171,No,0.9985,2026-04-17T17:41:37.270621+00:00
577171,Yes,0.0015,2026-04-17T17:41:37.270621+00:00
680950,No,0.655,2026-04-17T17:41:37.270621+00:00
680950,Yes,0.345,2026-04-17T17:41:37.270621+00:00
577184,No,0.9985,2026-04-17T17:41:37.270621+00:00
577184,Yes,0.0015,2026-04-17T17:41:37.270621+00:00
1087900,No,0.994,2026-04-17T17:41:37.270621+00:00
1087900,Yes,0.006,2026-04-17T17:41:37.270621+00:00
1416396,No,0.9725,2026-04-17T17:41:37.270621+00:00
1416396,Yes,0.0275,2026-04-17T17:41:37.270621+00:00
1451234,No,0.9985,2026-04-17T17:41:37.270621+00:00
1451234,Yes,0.0015,2026-04-17T17:41:37.270621+00:00
1485212,No,0.9985,2026-04-17T17:41:37.270621+00:00
1485212,Yes,0.0015,2026-04-17T17:41:37.270621+00:00
824260,No,0.59,2026-04-17T17:41:37.270621+00:00
824260,Yes,0.41,2026-04-17T17:41:37.270621+00:00
701542,No,0.935,2026-04-17T17:41:37.270621+00:00
701542,Yes,0.065,2026-04-17T17:41:37.270621+00:00
1097262,No,0.945,2026-04-17T17:41:37.270621+00:00
1097262,Yes,0.055,2026-04-17T17:41:37.270621+00:00
676519,No,0.9475,2026-04-17T17:41:37.270621+00:00
676519,Yes,0.0525,2026-04-17T17:41:37.270621+00:00
572851,No,0.9955,2026-04-17T17:41:37.270621+00:00
572851,Yes,0.0045,2026-04-17T17:41:37.270621+00:00
1656058,No,0.9995,2026-04-17T17:41:37.270621+00:00
1656058,Yes,0.0005,2026-04-17T17:41:37.270621+00:00
1664344,No,0.944,2026-04-17T17:41:37.270621+00:00
1664344,Yes,0.056,2026-04-17T17:41:37.270621+00:00
678411,No,0.9865,2026-04-17T17:41:37.270621+00:00
678411,Yes,0.0135,2026-04-17T17:41:37.270621+00:00
569338,No,0.9985,2026-04-17T17:41:37.270621+00:00
569338,Yes,0.0015,2026-04-17T17:41:37.270621+00:00
572121,No,0.795,2026-04-17T17:41:37.270621+00:00
572121,Yes,0.205,2026-04-17T17:41:37.270621+00:00
991897,No,0.9985,2026-04-17T17:41:37.270621+00:00
991897,Yes,0.0015,2026-04-17T17:41:37.270621+00:00
569340,No,0.9985,2026-04-17T17:41:37.270621+00:00
569340,Yes,0.0015,2026-04-17T17:41:37.270621+00:00
950854,No,0.845,2026-04-17T17:41:37.270621+00:00
950854,Yes,0.155,2026-04-17T17:41:37.270621+00:00
1087914,No,0.9975,2026-04-17T17:41:37.270621+00:00
1087914,Yes,0.0025,2026-04-17T17:41:37.270621+00:00
1361086,No,0.9795,2026-04-17T17:41:37.270621+00:00
1361086,Yes,0.0205,2026-04-17T17:41:37.270621+00:00
1748840,No,0.59,2026-04-17T17:41:37.270621+00:00
1748840,Yes,0.41,2026-04-17T17:41:37.270621+00:00
1007633,No,0.92,2026-04-17T17:41:37.270621+00:00
1007633,Yes,0.08,2026-04-17T17:41:37.270621+00:00
1664258,No,0.285,2026-04-17T17:41:37.270621+00:00
1664258,Yes,0.715,2026-04-17T17:41:37.270621+00:00
1129903,No,0.995,2026-04-17T17:41:37.270621+00:00
1129903,Yes,0.005,2026-04-17T17:41:37.270621+00:00
676783,No,0.895,2026-04-17T17:41:37.270621+00:00
676783,Yes,0.105,2026-04-17T17:41:37.270621+00:00
1361062,No,0.981,2026-04-17T17:41:37.270621+00:00
1361062,Yes,0.019,2026-04-17T17:41:37.270621+00:00
1088473,No,0.9435,2026-04-17T17:41:37.270621+00:00
1088473,Yes,0.0565,2026-04-17T17:41:37.270621+00:00
1652695,No,0.795,2026-04-17T17:41:37.270621+00:00
1652695,Yes,0.205,2026-04-17T17:41:37.270621+00:00
1319902,No,0.775,2026-04-17T17:41:37.270621+00:00
1319902,Yes,0.225,2026-04-17T17:41:37.270621+00:00
582135,No,0.0175,2026-04-17T17:41:37.270621+00:00
582135,Yes,0.9825,2026-04-17T17:41:37.270621+00:00
1073790,No,0.9345,2026-04-17T17:41:37.270621+00:00
1073790,Yes,0.0655,2026-04-17T17:41:37.270621+00:00
